word,pos,profile,definition,example,unit
percent,adjective,B1,"out of every 100, shown by the symbol %",I pay seven percent interest a year. ,Unit 05
perfect,adjective,A2,exactly right for someone or something,It's perfect for people who love peace and quiet.,Unit 11
performer,noun,B1,"someone who acts, sings, dances or plays music for other people to enjoy",Do you know any of the performers?,Unit 01
perhaps,adverb,A2,possibly,Perhaps we should get some ice cream.,Unit 03
phone call,noun,A2,when you use the telephone, A phone call between Leonardo and Min.,Unit 10
phone for,verb,,to communicate with someone by telephone,When was the last time you phoned for a taxi?,Unit 04
photography,noun,A2,the activity or job of taking photographs,"When I was at college, I did photography.",Unit 01
PIN (Personal Identification Number),abbreviation,,the secret number that allows you to use a bank card in a machine,Can you type in your PIN?,Unit 05
place,noun,A1,"a position, building, town, area, etc",It's a great place to work.,Unit 02
plan,noun,A2,something that you are going to do,Do you have any plans for the weekend?,Unit 10
plastic,noun,A2,a light substance that can be made into different shapes when it is soft and has many uses,Most children's toys are made of plastic.,Unit 08
play,verb,A1,"When you play a sport or game, you do it.",I play tennis with my brother.,Intro Unit
pleased,adjective,A2,happy about something,I'm pleased to be back home.,Unit 09
poem,noun,B1,"a piece of writing, especially one that has short lines and uses words that sound the same",love poems,Unit 08
point,noun,B1,"an opinion or fact that deserves to be considered seriously, or which other people agree is true","OK, that's a good point.",Unit 14
point,noun,B2,a particular quality or characteristic of a person or thing,good and bad points,Unit 11
politics,noun,B1,ideas and activities relating to how a country or area is governed,He has little interest in politics.,Unit 01
pollute,verb,B2,"to make water, air, soil, etc dirty or harmful",polluted parts of the city,Unit 07
pool,noun,A2,an area of water that has been made for people to swim in,The hotel has two outdoor pools.,Unit 06
poor,adjective,A1,having little money,"… a bigger, poorer group which can't afford (oil).",Unit 07
popular,adjective,A2,liked by many people,'Jack' was the most popular boy's name.,Unit 11
population,noun,B1,the number of people living in a particular area,What's the population of Brazil?,Unit 07
positive,adjective,B2,certain that something is true,"Are you sure you saw him? ""Absolutely positive.""",Unit 09
possession,noun,B2,a thing that you own,personal possessions,Unit 08
possible,adjective,A1,"If something is possible, it can happen or be done.",Would it be possible to write to them?,Unit 11
postpone,verb,B1,to arrange for something to happen at a later time,Can we postpone?,Unit 10
pound,noun,A2,the unit of money used in the UK and Ireland; £,Do you have Scottish pounds?,Unit 05
pour,verb,B1,to make a liquid flow from or into a container,I poured the milk into a jug.,Unit 03
practise,verb,A1,to do something again and again in order to get better at it,How often do you practise?,Unit 01
prawn,noun,B2,"a small, pink sea animal which you can eat",Prawns and green vegetables,Unit 03
preference,noun,B2,when you like something or someone more than another person or thing,personal preferences,Unit 06
presentation,noun,B1,a talk giving information about something,Do you ever have to make presentations to a lot of people?,Unit 10
press,verb,B1,to push something firmly,Press the button to start the machine.,Unit 05
pressure cooker,noun,,a pan with a lid which you use to cook food quickly in steam,Please learn to use a pressure cooker.,Unit 14
printer,noun,A2,a machine which is connected to a computer and which makes writing or images on paper,a laser printer,Unit 13
private,adjective,B1,only for one person or group and not for everyone,private parking,Unit 10
probably,adverb,A2,used to mean that something is very likely,Big cities will probably stop growing.,Unit 07
problem,noun,A1,a situation that causes difficulties,I've got a problem with my computer.,Unit 03
product,noun,B1,something that someone makes or grows so that they can sell it,We have a new range of skin-care products.,Unit 06
promise,verb,B1,to say that you will certainly do something,I promised to meet a friend tonight.,Unit 05
properly,adverb,B1,"correctly, or in a satisfactory way","Also, the intercom doesn't work properly.",Unit 11
pros and cons,phrase,B2,the advantages and disadvantages of something,We discussed the pros and cons of buying a bigger house.,Unit 11
put,verb,A1,to move something to a place or position,Where have you put the keys?,Unit 04
qualification,noun,B1,what you get when you pass an exam or a course,medical qualifications,Unit 02
queue,noun,B1,"a row of people waiting for something, one behind the other",Are you in the queue?,Unit 07
quick,adjective,A1,doing something fast or taking only a short time,We usually have a quick meal in front of the TV.,Unit 03
quiet,adjective,A2,without much noise or activity,I fancy a quiet night in tonight.,Unit 03
railway station,noun,A2,a building and the surrounding area where trains stop for people to get on or off,I’m looking for the railway station.,Unit 07
rain,noun,A1,water that falls from the sky in small drops,heavy rain,Unit 06
rainbow,noun,B2,a half circle with seven colours that sometimes appears in the sky when the sun shines through rain," In 1979, a rainbow in North Wales lasted for three hours.",Unit 06
read to (someone),verb,A2,to look at words that are written and say them aloud for other people to listen to,Do you ever read stories to friends?,Unit 12
ready,adjective,A2,"prepared and available to be eaten, drunk, used, etc.",ready to order,Unit 12
ready-made,adjective,,bought or found in a finished form and ready to use immediately,ready-made meal,Unit 03
really,adverb,A2,used when you are saying what is the truth of a situation,I really want to go again.,Intro Unit
reason,noun,A2,the facts about why something happens or why someone does something,Is there any particular reason why he doesn't want to come?,Unit 02
receipt,noun,A2,a piece of paper that proves that you have received goods or money,"And can I have a receipt, please?",Unit 04
reception,noun,B1,the place in a hotel or office building where people go when they arrive,Go out of reception and turn left.,Unit 07
reception,noun,,the quality of a radio or television signal,"Listen, the reception's really bad here.",Unit 13
recommend,verb,B1,to say that someone or something is good or suitable for a particular purpose,Can you recommend some things to see?,Unit 07
recycling,noun,B1,"when paper, glass, plastic, etc is put through a process so that it can be used again",ways to encourage recycling,Unit 14
reduce,verb,B1,to make something less,Prices have been reduced by almost 50 percent.,Unit 14
referee,noun,B2,someone who makes sure that players follow the rules during a sports game,They have rules and there’s a referee.,Unit 14
"Regards, …",noun,B1, a way of signing off a letter or email,"Regards, Cameron Clarke.",Unit 01
reggae,noun,,a type of popular music from Jamaica with a strong beat,We have a lot of reggae.,Unit 01
registration card,noun,B1,"an official form on which you write your name and other information so that you are allowed to live somewhere, vote, study, etc. ",Leonardo fills in the registration card.,Unit 10
relaxing,adjective,B1,making you feel relaxed,a relaxing bath,Unit 03
religious,adjective,B2,relating to religion,religious building,Unit 05
remind (someone) of,verb,B1,to make someone think of something or someone else,"It just reminds me of those days, the sunny summer days.",Unit 08
repayment,noun,,the borrowed money that you pay back,I make repayments every month.,Unit 05
reply to ,verb,B1,to answer,Do you always reply to emails,Unit 12
reservation,noun,B1,"an arrangement that you make to have a seat on an aeroplane, a room in a hotel, etc",I have a reservation.,Unit 10
resort,noun,B1,a place where many people go for a holiday,a tourist resort,Unit 07
responsible for,adjective,B2,"to be the person who caused something to happen, especially something bad",Le Corbusier is responsible for some of the problems in cities today.,Unit 11
retire,verb,B1,to leave your job and stop working because you are old,She retired from the company in 1990.,Unit 02
rice,noun,A1,small grains from a plant that are cooked and eaten,Fried rice with mushrooms.,Unit 03
rich,adjective,A2,A rich person has a lot of money.,a rich group which can afford energy,Unit 07
ridden,verb,A1,PAST PARTICIPLE of ride,Have you ever ridden a camel?,Unit 09
right,adverb,B1,exactly in a place on time,I'm usually right on time,Unit 13
right,noun,A2,the right side,on your right,Unit 07
Right.,exclamation,A2,used to express agreement or show that you have understood,Right.,Unit 02
rise,noun,B1,an increase in the amount of money that you earn,I haven't had a rise since I started.,Unit 02
roast,verb,A2,"If you roast food, you cook it in an oven or over a fire",Roast the lamb in a hot oven for 35 minutes.,Unit 03
rosemary,noun,,"a herb that grows as a bush with thin, pointed leaves",chopped fresh rosemary,Unit 03
rumba,noun,,"a type of dancing originally from Cuba, or the music for this",I play rumba,Unit 01
run,verb,A1,to move on your feet at a faster speed than walking,He can run very fast.,Unit 01
running,noun,A2,the sport of moving on your feet at a speed faster than walking,I go running three times a week.,Unit 01
rush,verb,B2,to hurry or move quickly somewhere,People are always rushing to get somewhere.,Unit 13
salad,noun,A2,a cold mixture of vegetables that have not been cooked,I can buy a ready-made bag of salad.,Unit 03
sales,noun,,the part of a company that deals with selling things,"I've got experience in sales, administration and catering.",Unit 02
sales team,noun,,the people in a company who sell the company's goods,I’ve been with the sales team at CSP for three months,Unit 02
salmon,noun,B1,"a large, silver fish, or the pink meat of this fish",Grilled salmon with potatoes ,Unit 03
salsa,noun,,a type of dance and music from Latin America,a salsa club,Unit 01
salt,noun,A1,a white substance used to add flavour to food,salt and pepper,Unit 03
sauce,noun,A2,a liquid that you put on food to add flavour,pasta with tomato sauce,Unit 03
sauna,noun,,a room that is hot and filled with steam where people sit to relax or feel healthy,I’d rather have a nicer pool than a sauna. ,Unit 06
sausage,noun,A2,a mixture of meat and spices pressed into a long tube,Sausages are nice.,Unit 03
save,verb,B1,to reduce the amount of something you use,It all saves energy.,Unit 14
save money,verb,A2,to keep money so that you can buy something with it in the future,So I saved up some money and I started having lessons.,Unit 13
say,verb,A1,to speak words,My mum says bon appetit before we start eating.,Unit 02
scanner,noun,,a piece of equipment that copies words or pictures from paper into a computer,a printer and a scanner,Unit 13
scholarship,noun,,an amount of money given to a person by an organization to pay for their education,He won a a basketball scholarship.,Unit 12
science,noun,A2,the study of the structure of natural things and the way that they behave,"When I was at college, I did science.",Unit 01
Scotland,noun,,a country north of England that is part of the United Kingdom,Thiago’s flying from France to Scotland.,Unit 05
Scottish,adjective,,relating to Scotland,Do you have Scottish pounds?,Unit 05
sea,noun,A1,a large area of salt water,I'd like to live by the sea.,Unit 06
sea level,noun,B2,"the level of the sea's surface, used to measure the height of an area of land",Sea levels will rise.,Unit 07
season,noun,B1,"one of the four periods of the year; winter, spring, summer, or autumn",climate and seasons ,Unit 06
second-hand,adjective,B1,"If something is second-hand, someone else had it or used it before you.",second-hand books,Unit 08
see,verb,A1,to notice people and things with your eyes,Can I see the big rug at the top?,Unit 08
seem,verb,B1,to appear to be,The staff don't seem very interested.,Unit 06
select,verb,B1,to choose someone or something,Please select amount.,Unit 05
self-employed,adjective,,working for yourself and not for a company or other organization,be self-employed,Unit 02
sell,verb,A2,to offer something for people to buy,Do you sell tickets?,Unit 07
send,verb,A1,to arrange for something to go somewhere,Have you ever sent a text message to the wrong person?,Unit 12
serve,verb,A2,"to give someone food or drink, especially in a restaurant or bar",Are you still serving?,Unit 03
service,noun,B1,a system that supplies something that people need,I'm writing to complain about the service provided by your agency.,Unit 06
shake,verb,B2,"to make quick, short movements from side to side or up and down, or to make something or someone do this",He was shaking with nerves.,Unit 03
shape,noun,B1,the physical form of something made by the line around its outer edge,a circular shape,Unit 08
share,verb,A2,to have or use something at the same time as someone else,She shares a house with Paul.,Unit 14
shark,noun,B1,a large fish with very sharp teeth,there’s a shark,Unit 13
shocked,adjective,B1,surprised and upset,"After his announcement, there was a shocked silence.",Unit 07
should,verb,B1,used to say or ask what is the correct or best thing to do,You should probably ask ahead of time if you can bring something.,Unit 03
show,noun,A2,a television or radio programme or a theatre performance,You want to go to a concert or show with some friends.,Unit 10
shower,noun,A1,when you wash your whole body while standing under a flow of water.,I had a shower and got dressed.,Unit 06
shower,noun,A1,a piece of bathroom equipment that you stand under to wash your whole body,He's in the shower.,Unit 06
shut,verb,A2,"to close something, or to become closed",He shut the door and the cab drove away.,Unit 04
sibling,noun,,a sister or brother,"my mum, dad and all my siblings",Unit 12
sight,noun,B1,"something which you see, especially something interesting",Tourism is bad for a country's areas of natural beauty and historical sights.,Unit 07
sign up for,verb,B1,to arrange to do an organised activity,Last week I signed up for an IT skills course.,Unit 02
silver,adjective,A2,being the colour of silver,"I remember when I got my first digital camera, a little silver one.",Unit 13
similar,adjective,B1,"Something which is similar to something else has many things the same, although it is not exactly the same",Calypso is similar to music from Latin America. ,Unit 01
since,conjunction,B1,from a time in the past until a later time or until now,I've had some of them since I was five.,Unit 08
since (+ point in time),preposition,A2,from a time in the past until a later time or until now,I've worked here since 2008.,Unit 02
single room,noun,A2,a room in a hotel for one person,Could I book a single room?,Unit 10
size,noun,A2,how big or small something is,What size is it?,Unit 08
ski slope,noun,B2,"one side of a hill or mountain that you ski on (= move over snow on long, thin objects)",When you use ski slopes there are a few rules.,Unit 05
skiing,verb,A2,to move over snow wearing skis,"When I was at college, I went skiing.",Unit 01
skill,noun,B1,"the ability to do an activity or job well, especially because you have done it many times",You need good communication skills to be a teacher.,Unit 02
slowly,adverb,A2,at a slow speed,"Can you speak more slowly, please?",Unit 02
smile,verb,B1,to make the corners of your mouth go up so that you look happy or friendly,She smiled at me.,Unit 09
smoke,verb,A1,to breathe smoke into your mouth from a cigarette,You can smoke when you're 16.,Unit 05
snack,noun,A2,a small amount of food,Would you like to try these snacks? ,Unit 03
sneeze,verb,B2,"When you sneeze, air suddenly comes out through your nose and mouth.",He had a cold and was sneezing a lot.,Unit 09
snow,noun,A1,soft white pieces of frozen water that fall from the sky when the weather is cold,Children were playing in the snow.,Unit 06
snowflake,noun,,a small piece of snow that falls from the sky,The world’s largest snowflake fell in 1887.,Unit 06
so,conjunction,A2,used to say that something is the reason why something else happens,I'd like to watch American films so I need to improve my listening.,Intro Unit
so,adverb,A2,used to give a short answer to a question to avoid repeating a phrase,I don't think so.,Unit 01
"So, …",adverb,A2,"used before you introduce a subject of conversation that is of present interest, especially when you are asking a question:","So, what brings you to Vancouver?",Unit 04
soap,noun,A2,a substance that you use for washing,a bar of soap,Unit 05
social life,noun,B1,"the time that you spend with other people, enjoying yourself",I think social networking sites replace people’s social lives.,Unit 10
social networking site,noun,,a website which allows you to communicate with friends and to meet new people,"I think social networking sites replace people’s
social lives.",Unit 10
solar power,noun,B2,power that is created from the sun's energy,use solar power,Unit 14
solution,noun,B1,the way to stop a problem,There's no easy solution to this problem.,Unit 14
some,quantifier,A1,used to mean an amount of something without saying exactly how much or how many,I might have some other sizes.,Unit 08
sometimes,adverb,A1,on some occasions but not always or often,I still practise on the luge sometimes.,Unit 01
somewhere,adverb,A2,used to mean a place when you do not know exactly where it is or when it is not important exactly where it is,I'm looking for somewhere to stay.,Unit 07
"Sorry, but ...",exclamation,B2,used to show politeness when expressing refusal or disagreement,"Sorry, but more people die in football matches, you know.",Unit 14
"Sorry, …?",phrase,A1,used as a polite way to say that you did not hear what someone has just said,"Sorry, y dot karim at …?",Unit 02
Sorry.,adjective,A2,used to show that you are sad about a person or situation,I was sorry to hear about your brother's accident.,Unit 09
Sorry.,adjective,A2,used to say that you wish something in the past had been different,I'm sorry that I ever met him.,Unit 09
sort of,phrase,B2,used to describe a situation approximately,It was sort of surrounded by mountains.,Unit 12
sound,verb,A2,to seem good/interesting/strange from what you have heard or read,That sounds good.,Unit 01
soup,noun,A1,"a usually hot, liquid food made from vegetables, meat or fish",What's the soup of the day?,Unit 03
south,noun,A2,the direction that is on your right when you face towards the rising sun,"It's in the Mediterranean, to the south of Sicily.",Unit 12
South Pacific,noun,,"the region which includes Australia, New Zealand, Papua New Guinea, and other islands in the Pacific Ocean",It’s an island in the South Paciﬁc.,Unit 12
south-west,noun,B1,the direction between south and west,"They're in the Indian Ocean, south-west of Sri Lanka.",Unit 12
spacious,adjective,,large and with a lot of space,a spacious apartment/office,Unit 11
Spanish,adjective,,coming from or relating to Spain,I've done a Spanish course.,Unit 02
sparkling (water),adjective,B1, a drink with bubbles in it,Sparkling or still?,Unit 03
special,adjective,B1,not ordinary or usual,special features ,Unit 06
speed,noun,B1,how fast something moves or happens,He was travelling at a speed of 90 mph.,Unit 01
speed limit,noun,,the fastest speed that a car is allowed to travel on a particular road,I never break the speed limit.,Unit 06
spell,verb,A2,to write or tell someone the letters which are used to make a word,Could you spell that for me?,Unit 02
spice,noun,B1,"a substance made from a plant, which is used to give a special taste to food",herbs and spices,Unit 03
sport,noun,A1,"a game or activity which people do to keep healthy or for enjoyment, often competing against each other",winter sports,Unit 01
sports centre,noun,A2,a building with places where you can play different sports,How often do you go to a sports centre?,Unit 06
Sri Lanka,noun,,a country in Asia,"They’re in the Indian Ocean, south-west of Sri Lanka.",Unit 12
stall,noun,B1,a large table or a small shop with an open front from which goods are sold in a public place,a market stall ,Unit 06
stand,verb,A2,to be in a vertical position on your feet,He was standing outside the terminal.,Unit 04
start,verb,A1,to begin to happen or to make something begin to happen,It all started when I was a kid.,Unit 01
start with,verb,A1,to begin a set of activities with the thing or person mentioned,The tour of the castle starts with a walk round its famous gardens.,Unit 03
starter,noun,,something that you eat as the first part of a meal,Order the starters.,Unit 03
starving,adjective,B2,very hungry,I'm absolutely starving.,Unit 09
stay,verb,A2,to spend a short period of time in a place,I'm staying with friends in Honolulu right now.,Unit 03
steak,noun,A2,"a thick, flat piece of meat or fish",Steak in a mushroom sauce,Unit 03
steel drum,noun,,large oil container which has been made into a musical instrument and is played like a drum,An instrument called the steel drum.,Unit 01
still (water),adjective,B1,A still drink does not have any bubbles in it.,"Still, please.",Unit 03
stir,verb,B1,to mix food or liquid by moving a spoon round and round in it,Stir the mixture until it is smooth.,Unit 03
stone,noun,B1,"a hard, natural substance that is found in the ground",a stone wall,Unit 08
storey,noun,B2,a level of a building,I live in a two-storey apartment.,Unit 11
storm,noun,A2,"very bad weather with a lot of rain, snow, wind, etc",a snow/thunder storm,Unit 06
story,noun,A2,a description of a series of real or imaginary events which people read for enjoyment,a horror story,Unit 04
strawberry,noun,B1,"a small, red fruit with small, brown seeds on its surface",Strawberries and cream,Unit 03
strength,noun,,a good characteristic,What are your strengths?,Unit 02
stressful,adjective,B1,making someone worry a lot,a stressful job,Unit 03
student card,noun,,a card which says that someone is a student and has their name and other details on it,Can I see a student card?,Unit 05
student hall,noun,,a buidling where students stay usually in their first year at university.,I've lived in a student hall.,Unit 11
study,verb,A1,"to learn about a subject, usually at school or university",I'm studying Japanese.,Intro Unit
stuff (like that),noun,B1,"used to mean a substance or a group of things or ideas, etc without saying exactly what they are","Onions, peppers, potatoes and stuff like that.",Unit 12
stupid,adjective,B1,very silly or not clever,That's a stupid thing to say.,Unit 06
suburb,noun,B2,an area where people live outside the centre of a city,a suburb of New York,Unit 11
suggest (+ -ing),verb,B1,to say an idea or plan for someone else to consider,I suggest that we park the car here.,Unit 12
sumo wrestling,noun,,a style of wrestling (= a fighting sport) originally from Japan,"Akebono Taro, sumo wrestler and yokozuna.",Unit 12
sure,adjective,A2,certain,I'm sure that he won't mind.,Unit 09
"Sure, …",adjective,A2,used to show agreement,"Sure, if we can get tickets for a day or a night.",Unit 01
surprised,adjective,A2,feeling surprise because something has happened that you did not expect,I'm surprised to see you here.,Unit 07
survey,noun,B2,an examination of people's opinions or behaviour made by asking people questions,They're doing a survey of local people's habits and preferences,Unit 06
swimming,noun,A2,moving through water by moving your body,The doctor recommended swimming as the best all-round exercise.,Unit 01
swimming pool,noun,A1,an area of water that has been made for people to swim in,Barbecue area next to swimming pool,Unit 11
Switzerland,noun,,a country in Europe,It’s between Austria and Switzerland.,Unit 12
table,noun,A1,"a piece of furniture with four legs, used for eating off, putting things on, etc",Which restaurant has tables outside?,Unit 03
take,verb,B1,to accept something,Would you take twenty?,Unit 05
take (one's) time,phrase,,to need a long time,People take their time having their breakfast.,Unit 13
take (someone) to,verb,A1,"to go somewhere with someone, often paying for them or being responsible for them",Can you take me to the Park Inn?,Unit 04
take back,phrasal verb,B1,to take something back to the place you borrowed or bought it from,When was the last time you took something back to a shop?,Unit 04
tall,adjective,A2,used to describe or ask how high someone or something is,How tall is she?,Unit 06
taxi rank,noun,,a place where you can go to get a taxi,Get a taxi at a taxi rank.,Unit 04
tear,noun,B1,a drop of water that comes from your eye when you cry,The human eye makes three different kinds of tears.,Unit 09
tell,verb,A1,"to say something to someone, usually giving them information",What would you like me to tell her?,Unit 02
tell (someone) to,verb,A2,to order someone to do something,I'd tell her to move if that doesn't work!,Unit 11
temperature,noun,A2,how hot or cold something is,"The hottest months are May, June and July, when temperatures can rise to 40-45 C. ",Unit 06
temple,noun,B1,a building where people in some religions go to pray,a Buddhist temple,Unit 05
tend to,verb,B2,to often to a particular thing or be likely to do a particular thing,I tend to get up at around six thirty now.,Unit 06
tennis,noun,A1,a sport in which two or four people hit a small ball to each other over a net,"When I was at college, I played tennis.",Unit 01
terrible,adjective,A2,very bad,a terrible accident,Unit 01
terrified,adjective,B1,very frightened,I'm terrified of flying.,Unit 09
terrifying,adjective,B2,making someone feel very frightened,It was quite terrifying.,Unit 01
text,verb,A2,to send a text message,"When someone texts you, how quickly do you text them back?",Unit 04
than,conjunction,A2,used to compare two different things or amounts,There's more choice than there used to be.,Unit 06
Thank you.,exclamation,A1,used to tell someone that you are pleased about something they have given you or done for you,Thank you very much for the birthday card.,Unit 02
That's it.,phrase,,used to say that there isn't any more of something,[Have you got any food?] We've got some milk in the fridge. That's it.,Unit 05
The thing is …,phrase,B2,used to introduce a problem which relates to something that you have just said,"The thing is, Chandigarh is too popular.",Unit 11
trouble,noun,B1,a characteristic of someone or something that is considered a disadvantage or problem,"The trouble is, concrete is not beautiful to look at.",Unit 11
the UN (United Nations),noun,,the United Nations,It’s a member of the UN.,Unit 12
the Vatican City,noun,,an independent state in Italy,The Vatican City covers an area the size of a golf course in Rome.,Unit 12
then,adverb,A1,"next, or after something has happened",Then he handed me fifty dollars.,Unit 04
there,adverb,A1,in or at a particular place,I go there almost every day.,Unit 11
there,pronoun,A1,used to show that something exists or happens,There are lots of lovely parks to go to.,Unit 11
these days,phrase,A1,used to talk about the present time,I think people communicate more these days.,Unit 13
thesis,noun,B2,a long piece of writing that you do as part of an advanced university course,I'm writing a thesis on my work in the Amazon.,Unit 02
thick,adjective,B1,Something that is thick is larger than usual between its opposite sides.,a thick layer of snow,Unit 08
things,noun,A1,a particular set of objects,"Well, I think you add water and some herbs, and things …",Unit 12
think,verb,A1,to have an opinion about something or someone,Do you think you could tell me a bit more?,Unit 06
think about,verb,A1,to have an opinion about something or someone,What do you think about this?,Unit 01
think about,verb,A2,to consider doing something,I'll think about it.,Unit 05
This is …,pronoun,A2,used to introduce someone,This is Paul Jennings.,Unit 13
thunderstorm,noun,A2,a storm that has thunder (=loud noise) and lightning (=sudden flashes of light in the sky),A thunderstorm has a lot of energy.,Unit 06
time,noun,A2,"a period of minutes, hours, years, etc.",have a good time,Unit 13
time,noun,B1,a particular point in the day or night,Is this a good time to talk?,Unit 13
timetable,noun,B1,"a list of times when buses, trains, etc arrive and leave",bus timetable on the computer,Unit 08
tinned,adjective,,tinned food is sold in metal containers,tinned food,Unit 03
tip,noun,B1,"an extra amount of money that you give to a driver, etc to thank them",Do you usually give the change to taxi drivers as a tip?,Unit 04
tired,adjective,A1,feeling that you want to rest or sleep,I'm too tired to go out tonight.,Unit 09
to,,A1,used with a verb to show the infinitive,Is it possible to see you on the 19th?,Unit 12
to,preposition,A2,used to show who receives something or experiences an action,Akebono Taro was the ﬁrst foreigner to become a yokozuna,Unit 12
to be honest,phrase,B1,used to say your real opinion,"To be honest, I didn't really enjoy the party.",Unit 06
toast,noun,A2,bread that has been heated to make it brown,a slice of toast,Unit 03
together,adverb,A1,with each other,We usually eat together in the evening.,Unit 03
too,adverb,A1,used before adjectives and adverbs to mean more than is allowed/necessary/ possible,too much time,Unit 13
tornado,noun,B2,an extremely strong wind that blows in a circle,The fastest winds on earth are inside a tornado. ,Unit 06
tour,noun,A2,"a visit to and around a place, area, or country",a tour of Europe,Unit 07
tourism,noun,B1,the business of providing services for tourists,Tourism helps people from different places to understand each other.,Unit 07
tourist,noun,A2,someone who visits a place for pleasure and does not live there,Only tourists wear shorts and T-shirts in the hot sun.,Unit 06
tourist office,noun,A2,an office that supplies information to people who are visiting an area for pleasure or interest,Sergei is in the tourist ofﬁce.,Unit 07
towel,noun,A2,a soft piece of cloth or paper that you use for drying yourself,a bath towel,Unit 05
tower block,noun,B1,a very tall building divided into apartments or offices,Do many people live in tower blocks where you live?,Unit 11
tradition,noun,B2,a custom or way of behaving that has continued for a long time in a group of people,There is a great tradition of dance in St Petersburg.,Unit 07
traditional,adjective,B1,following the customs or ways of behaving that have continued in a group of people for a long time,traditional farming methods,Unit 11
traffic,noun,A2,"the cars, trucks, etc using a road",Sorry we're late - we got stuck in traffic.,Unit 07
training,noun,B1,when you prepare for a sport or competition,When do luge athletes usually start training?,Unit 01
travel,noun,B1,the activity of travelling,I'm interested in travel.,Unit 01
travel,verb,A1,to make a journey,I was travelling to the USA.,Unit 04
treadmill,noun,,a machine with a moving part which you walk or run on for exercise,His wife suggested buying a treadmill and walking on it.,Unit 06
Trinidad and Tobago,noun,,a country consisting of a group of islands in the Caribbean (= a sea between North and South America),I came from Trinidad and Tobago.,Unit 01
try on,phrasal verb,A2,to put on a piece of clothing to discover if it fits you or if you like it,Can I try it on?,Unit 08
turn down,phrasal verb,B1,to reduce the level of sound or heat that a machine produces,"If everyone turned down their heating or air conditioning, we'd use less energy.",Unit 14
turn,verb,A2,to change direction when you are moving or to make a car do this,Turn left.,Unit 07
Tuvalu,noun,,a country consisting of a group of islands to the east of Australia,"Tuvalu lies in the Pacific Ocean, between Hawaii and Australia.",Unit 12
listing,noun,,"a list in a newspaper or magazine of the films, plays, etc. that are on ",TV and film listings,Unit 08
twin room,noun,,a room in a hotel with two single beds (= beds for one person each),Could I book a twin room?,Unit 10
type in,verb,B1,"If you type an instruction or piece of information in, you press the necessary letters, numbers or other keys on your computer keyboard",The waitress asks Thiago to type in his PIN.,Unit 05
understand (understood) that,verb,A2,to know or become aware of something,They understand that it has good and bad things to offer.,Unit 01
unfortunately,adverb,A2,used to say that you wish something was not true or that something had not happened,"Unfortunately, I won't be able to come because I'll be in Porto.",Unit 09
unfriendly,adjective,B1,not friendly,I think they are unfriendly.,Unit 03
unhappy,adjective,B1,not satisfied,I'm very unhappy about this level of service.,Unit 11
unique,adjective,B2,different from everyone and everything else,Everyone's fingerprints are unique.,Unit 01
unique,adjective,B2,unusual and special,a unique opportunity,Unit 01
unusual,adjective,A2,"different and not ordinary, often in a way that is interesting",an unusual name,Unit 12
urban,adjective,B2,belonging or relating to a town,urban areas,Unit 07
urbanisation,noun,,the process by which more and more people leave the countryside to live in cities,an article about urbanisation,Unit 07
use,noun,B1,a purpose for which something is used,Describe its use.,Unit 08
use (sthg) for / to,verb,A1,"if you use something, you do something with it for a particular purpose",I use it for my job.,Unit 13
used to,phrase,B1,"used to show that a particular thing always happened or was true in the past, especially if it no longer happens or is no longer true",I used to have a wonderful red bicycle.,Unit 13
usually,adverb,A2,in the way that most often happens,You usually find it in the kitchen.,Unit 08
vacuum,verb,,to clean somewhere using a vacuum cleaner,I usually vaccum at the weekends.,Unit 06
vanilla,noun,,a substance that is used to give flavour to some sweet foods,Warm chocolate cake with chocolate or vanilla ice cream.,Unit 03
vegetable,noun,A1,"a plant that you eat, for example a potato, onion, etc",Prawns and green vegetables,Unit 03
vegetarian,noun,B1,someone who does not eat meat or fish,suitable for vegetarians,Unit 03
vegetarian,adjective,B1,not eating or containing meat or fish,a vegetarian restaurant,Unit 03
veggie,noun,,a vegetable or a vegetarian (someone who does not eat meat or fish),We can put veggies on the barbecue.,Unit 03
very,adverb,A1,used to make an adjective or adverb stronger,"And at that time, food was very expensive.",Unit 03
view,noun,A2,how well you can see something from a place,It has a wonderful view of the mountains.,Unit 11
visa,noun,B1,an official mark in your passport (=book showing where you come from) that allows you to enter or leave a particular country,You can’t get into the country without the right visa.,Unit 05
visit,verb,A1,to go somewhere to see someone or a place,I was visiting my brother.,Unit 04
vivid,adjective,B2,"Vivid descriptions or memories produce strong, clear images in your mind.",He gave a very vivid description of life in Caracas.,Unit 12
volleyball,noun,A2,a game in which two teams use their hands to hit a ball over a net,"When I was at college, I played volleyball.",Unit 01
vote,verb,B1,to choose someone or something in an election or meeting by writing a cross on an official piece of paper or putting your hand up,Who did you vote for?,Unit 05
wait,verb,A1,to stay in a place until someone or something arrives,Could you wait here for five minutes?,Unit 04
want,phrase,A1,to desire a particular need or plan of action,Do you want me to see if there are any tickets?,Unit 01
want to,phrase,,used in giving advice to mean that someone should do something,"You want to tell him now, before it's too late.",Unit 12
warm,adjective,A1,having a temperature between cool and hot,Warm olives with oil and bread.,Unit 03
wash,verb,A1,to clean part of your body with water and soap,You have to wash yourself with a towel and lots of soap.,Unit 05
washing machine,noun,A2,a machine that washes clothes,The green washing machine uses 25 litres of water a wash.,Unit 06
