word,pos,profile,definition,example,unit
laugh,verb,A2,to smile and make sounds with your voice because something is funny,You never laugh at my jokes.,Unit 10
law,phrase,B2,the system of official rules in a country,You're breaking the law.,Unit 07
lawyer,noun,B1,someone whose job is to explain the law to people and give advice,Have you contacted your lawyer?,Unit 07
leader,noun,B1,"a person in control of a group, country, or situation",a religious leader,Unit 07
learn,verb,A1,to get knowledge or a new skill,I learned a lot about computers.,Unit 02
learning,noun,B2,the process of getting knowledge or a new skill,language learning,Unit 03
leave,verb,A1,to go away from a place,I leave the office at about seven o'clock.,Unit 07
leg,noun,A1,one of the parts of the body that is used for walking,My legs are tired after so much walking.,Unit 12
lemon,noun,A2,"an oval, yellow fruit that has sour juice",lemon juice,Unit 06
lentil,noun,,a very small dried bean which you cook and eat,She uses a lot of lentils in her cooking.,Unit 06
lesson,noun,A1,a period of time when a teacher teaches people,I am taking guitar lessons.,Unit 04
let,verb,A2,to allow someone to do something or to allow someone to have something,Please let me know if you can come.,Unit 10
let's,phrase,A2,something that you say to ask someone if they want to do something with you,Let's go out tonight.,Unit 10
lettuce,noun,B1,"a plant with green leaves, which you eat in salads",lettuce leaves,Unit 06
lexis,noun,,all the words of a language,lexis and grammar,Unit 04
library,noun,A2,a place with a lot of books that you can read or borrow,a library book,Unit 07
lie down,phrasal verb,A2,"to move into a position in which your body is flat, usually in order to sleep or rest",Lie down and close your eyes.,Unit 12
lift,noun,A2,a machine that carries people up and down in tall buildings,Shall we use the stairs or take the lift?,Unit 06
light,noun,B1,"the brightness that shines from the sun, from fire, or from an object, allowing you to see things",Natural light makes you feel happier.,Unit 12
light,noun,A2,an object that produces light,traffic lights,Unit 09
light,adjective,A2,not heavy,My bag is very light.,Unit 02
like,preposition,A2,similar to someone or something,"She's 26, like me.",Unit 08
like,verb,A1,to enjoy something or think that someone or something is nice,I like boat trips.,Unit 08
like,preposition,B1,for example,"But sometimes I do extra work, like writing reviews.",Unit 08
literature,noun,B1,"books, poems, etc that are considered to be art",classical literature,Unit 07
live,verb,A1,to have your home somewhere,I live in Malta.,Unit 02
live,adjective,B1,A live performance is done with people watching or listening.,There's a bar near here that does live music on Friday evenings.,Unit 06
living room,noun,A1,the room in a house where people sit to relax and watch television,"I was in the living room, watching TV.",Unit 05
local,adjective,B1,relating to an area near you,She goes to the local school.,Unit 14
long,adjective,A1,having a large distance from one end to the other,long hair,Unit 08
long,adjective,A1,continuing for a large amount of time,a long film,Unit 05
long,adjective,A1,used when asking for or giving information about the distance or time of something,How long was the First World War?,Unit 02
look for,verb,A1,to try to find someone or something,I'm looking for the new book by Paulo Coelho.,Unit 06
look,verb,A2,used to describe the appearance of a person or thing,Unicycles are safer than they look.,Unit 09
look after,phrasal verb,A2,to take care of something by keeping them healthy or ina good condition,I look after my home.,Unit 07
lot,noun,A1,a large number or amount of people or things,There are la lot of plates in here.,Unit 05
lots,noun,A1,a large number or amount of people or things,There are lots of interesting shops near here.,Unit 07
love,verb,A1,to like a friend or a person in your family very much,I'm sure he loves his kids.,Unit 03
love,verb,A1,to like something very much,He loves his music.,Unit 03
lovely,adjective,A2,very nice or enjoyable,We had a lovely day together.,Unit 04
lovely,adjective,A2,very attractive,a lovely dress,Unit 04
low in,phrase,B1,containing or eating little of a particular thing,These are special potatoes that are very low in carbohydrates.,Unit 06
low-carb,phrase,,containing little carbohydrate (=substance that gives the body energy),a low-carb diet,Unit 06
lunch,noun,A1,the food that you eat in the middle of the day,Shall we have lunch?,Unit 04
magazine,noun,A2,"a big, thin book that you can buy every week or month, that has pictures and writing",a fashion magazine,Unit 02
make,verb,A1,to create something,"So, you make clothes, yeah?",Unit 07
make,verb,B1,"to cause someone or something to become sad, happy, difficult, etc",Money doesn't make you happy.,Unit 03
make (new) friends,phrase,B1,to begin to know and like someone,He's shy and finds it difficult to make friends.,Unit 02
decision,noun,A2,a choice that you make about something after thinking about several possibilities,Itcan be difficult to make decisions.,Unit 07
make-up,noun,A2,coloured substances that a woman puts on her face to make her more attractive,She's wearing white make-up,Unit 08
male,adjective,B1,belonging to or relating to the sex that cannot have babies,a male colleague,Unit 01
Malta,noun,,"a country consisting of a group of islands in the Mediterranean (=a sea between Europe, Asia, and Africa)",,Unit 05
management,noun,B2,"being in control of an office, shop, team, etc",management skills,Unit 07
mango,noun,A2,"a sweet, orange fruit with a green skin and one big seed",slices of mango,Unit 06
many,quantifier,A1,a large number of,I've read so many books about them.,Unit 13
map,noun,A2,"a picture that shows where countries, towns, roads, etc are",a road map,Unit 02
market,noun,A2,"a place where people go to buy or sell things, often outside",a flower market,Unit 05
marketing,noun,B2,the work of encouraging people to buy a product or service,a career in marketing/sales and marketing,Unit 07
marriage,noun,B1,the legal relationship of a man and a woman being a husband and a wife,It was a very happy marriage.,Unit 14
married,adjective,A2,A married man or woman has a wife or husband.,a married couple,Unit 01
match,noun,A2,a sports competition in which two people or teams compete against each other,a tennis match,Unit 10
mathematics,noun,A2,the study of and science of numbers and shapes,a professor of mathematics,Unit 07
maybe,adverb,A2,possibly,Maybe about 13 hours a day.,Unit 06
me,pronoun,A1,the person who is speaking or writing,She gave me some money.,Unit 03
meal,noun,A1,"when you eat, or the food that you eat at that time",a three-course meal,Unit 03
mean,verb,A2,to have a particular meaning,Do you mean …?,Unit 09
meaning,noun,B1,"The meaning of words, signs, or actions is what they represent or show.",The word 'squash' has several meanings.,Unit 06
meat,noun,A1,"the soft parts of animals, used as food",I don't eat meat.,Unit 14
media,noun,B2,"television, newspapers, magazines, and radio considered as a group",The issue has been much discussed in the media.,Unit 01
medicine,noun,A2,"something that you drink or eat when you are ill, to stop you being ill",cough medicine,Unit 06
medicine,noun,B1,the science of treating and preventing illness,He studied medicine at Bristol University.,Unit 07
medium,adjective,B1,in the middle of a group of different amounts or sizes,He's medium height.,Unit 08
meet,verb,A1,to come to the same place as someone else,His assistant will meet you at the airport.,Unit 04
meet,verb,A1,to see and speak to someone for the first time,Nice to meet you.,Unit 01
meeting,noun,A2,"when people come together for a reason, usually to talk about something",I have a meeting at six.,Unit 03
melon,noun,A2,"a large, round, sweet fruit with a thick, green or yellow skin",a slice of melon,Unit 06
memory,noun,B1,your ability to remember things,I have a good memory for names.,Unit 14
menu,noun,A2,a list of food and drinks that you can get in a restaurant,a dinner menu,Unit 06
message,noun,A1,a piece of written or spoken information which one person gives to another,Can I take a message?,Unit 03
method,noun,B1,"a way of doing something, often one that involves a system or plan",What's the best method of solving this problem?,Unit 14
metre,noun,A2,"a unit for measuring length, equal to 100 centimetres",Our bedroom is five metres wide.,Unit 13
metro,noun,,an underground railway system in a large city,the Paris metro,Unit 05
line,noun,B1,the route followed by a railway track,Which metro line do you live on?,Unit 05
Mexico,noun,,a country in North America,She's travelling around Mexico.,Intro unit
microwave,noun,,an electric oven that uses waves of energy to quickly cook food or make it warmer,I cook rice in the microwave.,Unit 05
midnight,noun,A2,12 o'clock at night,We didn't get home till midnight.,Unit 11
milk,noun,A1,a white liquid that babies and baby animals drink that comes from their mothers' bodies,a carton of milk,Unit 06
minute,noun,A1,a period of time equal to 60 seconds,It'll take you thirty minutes to get to the airport.,Unit 09
Miss,noun,A1,a title for a girl or woman who is not married,Miss Olivia Allenby,Intro unit
miss,verb,A2,"to arrive too late to get on a bus, train, or aeroplane",He missed the plane to Dublin.,Unit 11
miss,verb,A2,to feel sad about someone or something that you have stopped seeing or having,I miss my friends.,Unit 02
mixed,adjective,,made of a combination of different peopl or things,a mixed salad,Unit 06
mobile,noun,A1,a mobile phone,I called him from my mobile.,Intro unit
mobile phone,noun,A1,a telephone that you can carry everywhere with you,She was speaking on her mobile phone.,Unit 04
moment,noun,A2,a very short period of time,"Excuse me, have you got a moment?",Unit 13
money,noun,A1,the coins or pieces of paper that are used for buying things,How much money have you got?,Unit 02
monolingual,adjective,,using only one language,monolingual dictionaries,Unit 06
month,noun,A1,one of the twelve periods of time that a year is divided into,Next month will be very busy.,Unit 02
more,quantifier,A1,something extra to what you have now,Is there any more soup?,Unit 09
more,adverb,A1,used to show that something or someone has a greater amount of a quality than something or someone else,Flying is more expensive than taking the train.,Unit 09
most,adverb,A2,more than anyone or anything else,Which are the most important for you?,Unit 04
mother,noun,A1,your female parent,My mother and father are divorced.,Unit 01
mother-in-law,noun,B2,the mother of your husband or wife,My mother-in-law is coming to stay.,Unit 08
motorbike,noun,A2,a vehicle with two wheels and an engine,He rides a motorbike.,Unit 09
motorway,noun,A2,"a long, wide road, usually used by traffic travelling fast",I hate motorway driving.,Unit 05
mountain,noun,A2,a very high hill,to climb a mountain,Unit 05
moustache,noun,B1,a line of hair that some men grow above their mouths,He's grown a moustache.,Unit 08
mouth,noun,A1,the part of the face that is used for eating and speaking,She opened her mouth but no words came out.,Unit 12
abroad,adverb,B1,in or to a foreign country,Moving abroad can be a difficult experience.,Unit 14
move,verb,B1,"if a person or organisation moves, they go to a different place to live or work",They moved into a new house last year.,Unit 04
Mr,noun,A1,"a title for a man, used before his family name or full name","Good morning, Mr Smith.",Intro unit
Mrs,noun,A1,"a title for a married woman, used before her family name or full name","Hello, Mrs. Jones.",Intro unit
Ms,noun,A2,"a title for a woman, used before her family name or full name",Ms Holly Fox,Intro unit
much,quantifier,A1,"In questions, 'much' is used to ask about the amount of something.",How much lettuce would you like?,Unit 06
much,quantifier,A2,"In negative sentences, 'much' is used to say that there is not a large amount of something.",not much free time,Unit 07
mum,noun,A1,mother,"Can we go now, Mum?",Unit 08
muscle,noun,B2,one of many parts in the body that are connected to bones and which help you to move,stomach muscles,Unit 12
museum,noun,A1,"a building where you can look at important objects connected with art, history, or science",a museum of modern art,Unit 02
mushroom,noun,A2,"a type of fungus (=organism like a plant) with a short stem and a round top, some types of which can be eaten",I don't like mushrooms on pizza.,Unit 06
music,noun,A1,"a pattern of sounds that is made by playing instruments or singing, or a recording of this",pop/dance music,Unit 02
music,noun,,written signs which represent sounds that can be sung or played with instruments,I never learnt to read music (=understand written music).,Intro unit
musician,noun,B1,"someone who plays a musical instrument, often as a job",a jazz musician,Unit 07
my,determiner,A1,belonging to the person who is speaking or writing,My name's Claudia.,Intro unit
name,noun,A1,"the word or group of words that is used to refer to a person, thing, or place",What's your name?,Intro unit
nationality,noun,A1,"If you have American/British/Swiss, etc nationality, you are legally a member of that country.",What nationality is she?,Intro unit
natural,adjective,B1,made or caused by nature and not by people or machines,natural gas,Unit 12
near,preposition,A1,not far away in distance,near the mountains,Unit 05
near,adjective,B1,not far away in distance or time,Where's the nearest rickshaw stop?,Unit 09
neck,noun,A2,the part of the body between your head and your shoulders,She had a red scarf around her neck.,Unit 12
necklace,noun,A2,a piece of jewellery that you wear around your neck,a pearl necklace,Unit 08
need,verb,A1,"If you need something, you must have it, and if you need to do something, you must do it.",I need six tomatoes.,Unit 06
neighbour,noun,A2,"someone who lives very near you, especially in the next house",Our next-door neighbours are always arguing.,Unit 01
neither,pronoun,B2,not either of two people or things,"Were you on the river or the mountain? ""Neither. We were ona plane.""",Unit 13
nephew,noun,B1,the son of your brother or sister,It was my nephew's birthday.,Unit 08
never,adverb,A1,"not ever, not one time","Have you ever been to Australia? ""No, never.""",Unit 03
new,adjective,A1,different from before,The new job is hard work.,Unit 02
new,adjective,A1,recently made,Are you good with new technology?,Unit 04
New Year,noun,,the period in January when another year begins,Happy New Year!,Unit 03
the news,phrase,B1,"information about important things that have just happened on television, radio and in newspapers",I'm just watching the news.,Unit 07
news,noun,A2,new information,Have you heard Jennie's news?,Unit 07
newsagent,noun,,a shop that sells newspapers and magazines,There's a newsagent's on the corner.,Unit 06
newspaper,noun,A1,"large, folded sheets of paper which are printed with the news and sold every day or every week",I read about his death in the newspaper.,Unit 02
next,adjective,A1,coming after this one,next year,Unit 14
next,adjective,A2,nearest to now,What time does the next coach leave?,Unit 09
next to,phrase,A2,used when describing two people or things that are very close to each other with nothing between them,Our new place in Malta is next to the sea.,Unit 05
nice,adjective,A1,pleasant,They have a very nice house.,Unit 06
niece,noun,B1,the daughter of your brother or sister,My niece is 16 on Saturday.,Unit 08
no,exclamation,A1,"something that you say in order to disagree, refuse something, or say that something is not true","No, I'm not.",Unit 01
no,determiner,A1,not any,There's no computer in the flat.,Unit 05
No problem.,phrase,A2,something that you say to mean you can or will do what someone has asked you to do,"Can you get me to the airport by 11.30? ""No problem.""",Unit 02
"No, thanks.",phrase,A1,used to refuse someone's offer,"Would you like a cup of coffee? ""No, thanks.""",Unit 02
noisy,adjective,A2,Noisy people or things make a lot of noise.,We've had problems with noisy neighbours.,Unit 05
noodles,noun,,thin pieces of pasta (=food made from flour and water),The soup comes with noodles in it.,Unit 06
normal,adjective,A2,usual and ordinary,It's normal for couples to argue now and then.,Unit 06
north,phrase,A2,the part of an area that is further towards the north than the rest,in the north of Argentina,Unit 05
northern,adjective,B1,in or from the north part of an area,northern Europe,Unit 05
nose,noun,A1,the part of your face that you breathe through and smell with,She has a big nose.,Unit 12
not,adverb,A1,used to give something the opposite meaning,I'm not his sister.,Unit 01
not enough,phrase,A2,too little,That's not enough.,Unit 14
now,adverb,A1,this time,Can you talk now?,Unit 13
number,noun,A1,a symbol or word used in a counting system,What's the number of his house?,Intro unit
number,noun,A1,a group of numbers that represents something,What's your phone number?,Intro unit
nurse,noun,A2,someone whose job is looking after people who are ill and hurt,She worked as a nurse for forty years.,Unit 01
nut,noun,B2,"the dry fruit of some trees which grows in a hard shell, and can often be eaten",a brazil nut,Unit 06
occupation,noun,A2,your job,You have to give your occupation on the application form.,Unit 01
of,preposition,A1,belonging or relating to someone or something,A friend of mine went to live there.,Unit 05
of,preposition,A1,used after words which show an amount,a kilo of apples,Unit 07
of,preposition,A1,containing,a bottle of water,Unit 07
of,preposition,A2,showing position or direction,"the centre of town, the north of Poland",Unit 07
of ,preposition,A1,"used with numbers, ages and dates",the fourteenth of February,Unit 07
of course,phrase,A1,used to say 'yes' and emphasise your answer,"Yes, of course.",Unit 02
offer,noun,A2,when you ask someone if they would like something,an offer of help,Unit 02
office,noun,A2,a room or building where people work,an office worker,Unit 01
manager,noun,A2,"someone in control of an office, shop, team, etc",an office manager,Unit 01
often,adverb,A1,many times or regularly,I often see her there.,Unit 03
Oh no!,phrase,A2,something that you say when you are shocked and upset,Oh no! It's gone all over the carpet!,Unit 05
oil,noun,A2,a thick liquid made from plants or animals that is used in cooking,vegetable oil,Unit 06
OK,adjective,A2,good or good enough,The film was OK.,Unit 01
OK,adjective,A1,safe or healthy,I'm OK.,Unit 01
OK,exclamation,A1,used when agreeing with something or when allowing someone to do something,"Let's meet this afternoon. ""OK.""",Unit 01
old,adjective,A1,having lived or existed for a long time,an old man,Unit 01
old,adjective,A2,having been used or owned for a long time,Have you got my old rucksack?,Unit 02
olive,noun,B1,a small green or black fruit that is eaten or used to produce oil,black/green olives,Unit 06
on,preposition,B1,next to or along the side of a place or area,The village is on the Chorillos river.,Unit 05
on,preposition,A2,used to show some methods of travelling,on the bus,Unit 05
on,preposition,A1,used to show the date or day when something happens,on March 25th,Unit 05
on,preposition,A2,being shown on television,"on television, on the internet",Unit 05
on,preposition,A2,in a particular place,on the second floor,Unit 05
diet,noun,B1,"when someone eats less food, or particular types of food, because they want to become thinner, or because they are ill",They're good for you if you're on a diet.,Unit 06
once,adverb,A2,one time,once a week,Unit 07
onion,noun,A2,a round vegetable with layers that has a strong taste and smell,I love the smell of onions frying.,Unit 06
online,adverb,A2,"connected to a system of computers, especially the Internet",When was the first time Sang-mi bought music online?,Unit 04
only child,noun,A1,someone who has no brothers or sisters,She was a much-loved only child.,Unit 08
open,adjective,A1,A shop or business is open during the time it can do business.,Do you know when it's open?,Unit 01
open return,noun,,"a train/aeroplane, etc. ticket to a place and back again that lets you travel back at any time",How much does an open return ticket cost?,Unit 09
orange,noun,A1,"a round, sweet fruit with a thick skin and a centre that has many parts",orange juice,Unit 02
order,verb,A2,to ask for food or other things,What can she order?,Unit 06
organise,verb,B1,to plan or arrange something,Who is going to organise the party?,Unit 12
other,adjective,A1,different from a thing or person which you have talked about,One of the other shop assistants was a student too.,Unit 01
our,determiner,A1,belonging to us,Alice is our youngest daughter.,Intro unit
out of,preposition,A2,used to show movement away from the inside of a place or container,I go out of my front door and across Southend Street.,Unit 09
outgoing,adjective,,"Someone who is outgoing is friendly, talks a lot, and enjoys meeting people.","Anne is very outgoing, but her sister's quite shy.",Unit 08
over there,phrase,B1,"said when showing, often with your hand, that someone or something is in a place that is not near you","Yes, they're over there.",Unit 06
own,adjective,A2,belonging to a particular person,Does the room have its own bathroom and kitchen?,Unit 05
pack,verb,A2,to put your things into bags or boxes when you are going on holiday or leaving the place where you live,Did you pack your bag yourself?,Unit 11
packet,noun,B1,a small box with a lot of the same thing in it,a packet of cigarettes,Unit 06
pain,noun,A2,a bad feeling in a part of your body when you are ill or hurt,I've got a pain in my back.,Unit 12
pair,noun,A2,two things that look the same and are used together,I'm looking for a pair of black shoes.,Unit 07
palace,noun,B1,a large house where a king or queen lives,Buckingham Palace,Unit 13
pale,adjective,B2,"If your face is pale, it has less colour than usual because you are ill.",You're looking a bit pale - are you all right?,Unit 08
paracetamol,noun,,a common drug used to reduce pain and fever,I took two paracetamol for my headache.,Unit 12
parent,noun,A1,your mother or father,Her parents live in Oxford.,Unit 01
park,noun,A1,"a large area of grass, often in a town, where people can walk and enjoy themselves",The children are playing in the park.,Unit 05
park,verb,A2,to leave a car in a place for a period of time,It's difficult to park in the centre.,Unit 09
part-time,adjective,B1,working or studying only for part of the day or the week,I'm doing a part-time course in catering.,Unit 07
party,noun,A1,"when people come together to enjoy themselves by talking, eating, drinking, and dancing",a birthday party,Unit 01
passport,noun,A2,a small book with your photograph in that you need to enter a country,a British passport,Unit 04
passport control,noun,B2,"an area, especially in an airport, where you show your passport to someone before entering a country",We've got to go through passport control.,Unit 11
past,phrase,B1,the time before the present and all the things that happened then,In the past people would bathe once a month.,Unit 01
past,phrase,A2,the form of the verb which is used to show what happened in the past,What's the past of 'eat'?,Unit 01
pasta,noun,A2,a food that is made from flour and water and is made in many different shapes,Spaghetti is my favourite pasta.,Unit 06
pastry,noun,,a small cake,coffee and pastries,Unit 06
pay,verb,A1,to give money to someone because you are buying something from them,Helen paid for the tickets.,Unit 06
pea,noun,B1,"a small, round, green seed that people eat as a vegetable",rice and peas,Unit 06
pen,noun,A1,"a long, thin object that you use to write or draw in ink",Could I borrow your pen?,Unit 04
people,noun,A1,more than one person,Our company employs over 400 people.,Intro unit
pepper,noun,A2,"a powder that is made from seeds, used to give food a slightly spicy flavour",salt and pepper,Unit 06
pepper,noun,B1,"a green, red, or yellow vegetable",red peppers,Unit 06
person,noun,A1,a human being,You're the only person I know here.,Unit 01
personal,adjective,B1,belonging to a particular person,Please take all personal belongings with you when you leave the train.,Unit 04
personality,noun,B2,the qualities that make one person different from another,She's got a lovely warm personality.,Unit 08
"Personally, …",adverb,B1,used when you are saying your opinion,"Personally, I think Michael Grose is right.",Unit 08
pet,noun,A1,an animal that someone keeps in their home,my pet rabbit,Unit 05
petrol,noun,A2,a liquid fuel used in cars,Could you put some petrol in the car?,Unit 09
petrol station,noun,A2,a place where you can buy petrol,I'll stop off at the petrol station on the way home from work.,Unit 05
pharmacist,noun,B2,someone who prepares or sells medicines,I'll ask the pharmacist for advice.,Unit 12
pharmacy,noun,B1,a shop that prepares and sells medicines,"Could you get some plasters from the pharmacy, please?",Unit 06
phone call,noun,A1,when you use the telephone,I've got to make a phone call.,Unit 07
phone number,noun,A1,the number of a particular telephone,I don't remember his phone number.,Intro unit
pick up,phrasal verb,A2,"to collect someone who is waiting for you, or to collect something that you have left somewhere",pick up Mario from football,Unit 06
picnic,noun,A1,food that you take from your home to eat outside,We're going to have a picnic down by the lake.,Unit 03
picture,noun,A1,"a drawing, painting, or photograph of something or someone",She's got pictures of pop stars all over her bedroom.,Unit 05
picture,verb,,to imagine something in a particular way,The house was very different from how I'd pictured it.,Unit 05
pigeon,noun,,a grey bird which often lives on buildings in towns,He was feeding the pigeons.,Unit 11
pineapple,noun,B1,a large fruit with leaves sticking out of the top which is sweet and yellow inside,chopped pineapple,Unit 06
place,noun,A1,"a position, building, town, area, etc",His leg's broken in two places.,Unit 05
plan,noun,A2,something that you are going to do,What are your plans for the weekend?,Unit 14
plan,noun,B2,a drawing that shows how something appears from above,a street plan,Unit 06
plan,verb,B1,to decide what you are going to do or how you are going to do something,We're just planning our holidays.,Unit 04
plant,noun,A1,a living thing that grows in the soil or water and has leaves and roots,How often does the big plant need water?,Unit 05
plate,noun,A1,"a flat, round object which is used for putting food on",a dinner plate,Unit 05
plum,noun,,"a soft, round fruit with red or yellow skin and a stone in the middle",She was eating a plum.,Unit 06
plumber,noun,B2,someone whose job is to repair or connect water pipes and toilets and baths,We had a plumber round to fix the tap.,Unit 01
police officer,noun,A2,someone who is a member of the police,A police officer happened to be walking by.,Unit 01
Polish,adjective,,coming from or relating to Poland,My granny is Polish.,Intro unit
polite,adjective,A2,behaving in a way that is not rude and shows that you think about other people,She was too polite to point out my mistake.,Unit 03
politics,noun,B1,ideas and activities relating to how a country or area is governed,He has little interest in politics.,Unit 03
popular,adjective,A2,liked by many people,'Jack' was the most popular boy's name.,Unit 12
postcode,noun,,a group of letters and numbers that comes at the end of someone's address in the UK,What's your postcode?,Intro unit
potato,noun,A1,"a round, white vegetable that grows in the ground",boiled potatoes,Unit 06
pots and pans,phrase,B1,all the round metal containers that you use for cooking food in on a cooker,That cupboard there is where all the pots and pans go.,Unit 05
practise,verb,A1,to do something again and again in order to get better at it,They're practising for tomorrow's concert.,Unit 14
prawn,noun,B2,"a small, pink sea animal which you can eat",a prawn sandwich,Unit 06
prefer,verb,A2,to like someone or something more than another person or thing,I prefer dogs to cats.,Unit 06
present,adjective,B1,happening or existing now,present occupation,Unit 01
present,phrase,A1,the form of the verb which is used to show what happens or exists now,present simple,Unit 01
price,noun,A2,the amount of money that you pay to buy something,high/low prices,Unit 01
private,adjective,B1,only for one person or group and not for everyone,You can't park here - this is private property.,Unit 09
probably,adverb,A2,used to mean that something is very likely,Probably about five hours a week.,Unit 07
problem,noun,A1,a situation that causes difficulties,I've got a problem with my knee.,Unit 12
professor,noun,B1,"the highest rank of teacher in a British university, or a teacher in an American university or college",a professor of history at Oxford,Unit 07
programme,noun,,"a thin book that you buy at a theatre, sports event, etc",a theatre programme,Unit 10
project,noun,B2,a planned piece of work that has a particular purpose,He's working on two projects.,Unit 07
pronunciation,noun,B1,how words are pronounced,There are two different pronunciations of this word.,Unit 04
public holiday,noun,A1,a day when most people in a particular country do not go to work,Christmas day is a public holiday in the UK.,Unit 02
public transport,noun,B1,a system of vehicles such as buses and trains which operate at regular times and that the public use,I try to take public transport to work instead of my car.,Unit 07
purple,adjective,A2,being a colour that is a mixture of red and blue,a purple jacket,Unit 06
question,noun,A1,a sentence or phrase that asks you for information,Is it OK if I ask you a few questions?,Intro unit
quick,adjective,A1,doing something fast or taking only a short time,I tried to catch him but he was too quick for me.,Unit 09
quiet,adjective,A2,making little or no noise,"Can you be quiet, please? We're trying to work.",Unit 05
quiet,adjective,A2,without much noise or activity,I fancy a quiet night in tonight.,Unit 05
rabbit,noun,A2,a small animal with fur and long ears that lives in a hole in the ground,She keeps rabbits.,Unit 02
radio,noun,A1,a piece of equipment used for listening to radio broadcasts,a car radio,Unit 03
rat,noun,A2,an animal that looks like a large mouse and has a long tail,Rats carry disease.,Unit 11
read,verb,A1,to look at words and understand what they mean,I've never read a Harry Potter book.,Intro unit
reading,noun,A1,the activity or skill of reading books,I did a lot of reading on holiday.,Unit 03
really,adverb,A1,very or very much,My mobile takes really good photos.,Unit 14
really,adverb,A1,very or very much,I really miss the sun.,Unit 02
Really?,phrase,A2,used when you are surprised at what someone has just said,"Apparently, he's leaving. ""Really?""",Unit 05
receptionist,noun,A2,"someone who works in a hotel or office building, answering the telephone and dealing with guests",a hotel receptionist,Unit 11
red,adjective,A1,being the same colour as blood,a red shirt,Unit 06
relationship,noun,B1,the way two people feel and behave towards each other,He has a very good relationship with his older sister.,Unit 01
relative,noun,B1,someone in your family,a party for friends and relatives,Unit 08
relax,verb,B1,"to become happy and comfortable because nothing is worrying you, or to make someone do this",I find it difficult to relax.,Unit 14
relaxed,adjective,B1,feeling happy and comfortable because nothing is worrying you,She seemed relaxed and in control of the situation.,Unit 08
religion,noun,B1,"the belief in a god or gods, or a particular system of belief in a god or gods",the Christian religion,Unit 03
remedy,noun,B2,something that makes you better when you are ill,a flu remedy,Unit 12
remember,verb,A1,"to keep something in your mind, or bring it back into your mind",I can't remember his name.,Intro unit
rent,verb,A2,to pay money to live in a building that someone else owns,We're renting a flat in Madrid.,Unit 05
rent,noun,A2,the amount of money that you pay to live in a building that someone else owns,Is heating included in the rent?,Unit 05
repeat,verb,A2,to say or do something more than once,"So, just to repeat, …",Unit 09
reply,verb,B1,to answer,"I don't understand, she replied.",Unit 06
report,noun,B1,a description of an event or situation,Dean is working on a report.,Unit 07
request,noun,B1,when you ask for something,His doctor made an urgent request for a copy of the report.,Unit 02
request,verb,B1,to ask for something,We have requested two more computers.,Unit 02
restaurant,noun,A1,a place where you can buy and eat a meal,an Italian restaurant,Unit 01
rice,noun,A1,small grains from a plant that are cooked and eaten,boiled rice,Unit 06
ride,verb,A1,"to travel by sitting on a horse, bicycle, or motorcycle and controlling it",He rides a motorbike.,Unit 09
right,adjective,A1,correct or true,The right colour improves your mood.,Unit 03
river,noun,A1,"a long, natural area of water that flows across the land",the River Thames,Unit 05
road,noun,A1,"a long, hard surface built for cars to drive on",Be careful when you cross the road.,Unit 05
romantic,adjective,B1,relating to exciting feelings of love,a romantic film,Unit 10
room,noun,A1,"a part of the inside of a building, which is separated from other parts by walls, floors, and ceilings",a hotel room,Unit 02
round,adjective,A2,in the shape of a circle or ball,Round watermelons are difficult to keep in fridges.,Unit 06
rucksack,noun,,a bag that you carry on your back,He had a rucksack on his back.,Unit 02
rug,noun,B1,a soft piece of material used to cover the floor,The dog was lying on the rug in front of the fire.,Unit 05
ruin,noun,B1,the broken parts that are left from an old building or town,Thousand of tourists wander around these ancient ruins every year.,Unit 13
Russian,adjective,,coming from or relating to Russia,a Russian restaurant,Intro unit
sachet,noun,,a small bag containing a small amount of something,sachets of sugar and coffee powder,Unit 12
safe,adjective,A2,not dangerous,a safe driver,Unit 05
sales rep,noun,,someone who travels to different places trying to persuade people to buy their company's products or services,Their sales rep came and gave us a presentation on the product.,Unit 01
salesperson,noun,,someone whose job is selling things,A salesperson almost sold me the package.,Unit 07
salmon,noun,B1,"a large, silver fish, or the pink meat of this fish",smoked salmon,Unit 06
salt,noun,A1,a white substance used to add flavour to food,salt and pepper,Unit 06
sand,noun,B1,"a substance that is found on beaches, which is made from very small grains of rock",The children were playing in the sand.,Unit 04
sandwich,noun,A1,"two slices of bread with meat, cheese, etc between them",a cheese sandwich,Unit 02
say     ,verb,A1,to speak words,"I'd like to go home, she said.",Intro unit
say     ,verb,B1,to tell someone about a fact or opinion,He said that he was leaving.,Intro unit
school,noun,A1,a place where children go to learn things,I ride my bike to school.,Unit 01
science fiction,noun,B1,"books, films or cartoons about an imagined future, especially about space travel or other planets",a science-fiction novel/story,Unit 10
scooter,noun,A2,a small motorcycle,He rides around on a scooter.,Unit 09
sculpture,noun,B1,"a piece of art that is made from stone, wood, clay, etc",a wooden sculpture,Unit 13
sea,noun,A1,a large area of salt water,I'd like to live by the sea.,Unit 05
sea,phrase,A1,a particular area of salt water,the Black Sea,Unit 05
seat,noun,A2,something that you sit on,"Please, have/take a seat (=sit down).",Unit 11
second,adjective,A1,being the one after the first,They live on the second floor.,Unit 04
second,noun,A2,one of the 60 parts a minute is divided into,It takes eight minutes and 18 seconds for light to travel from the sun to the earth.,Unit 10
